ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
609	10	1e5	500	1	0.5	21
610	10	1e5	500	2	0.5	21
611	10	1e5	100	1	0.5	21
612	10	1e5	100	2	0.5	21
613	20	1e5	1000	1	0.5	21
614	20	1e5	1000	2	0.5	21
615	20	1e5	500	1	0.5	21
616	20	1e5	500	2	0.5	21
617	20	1e5	100	1	0.5	21
618	20	1e5	100	2	0.5	21
619	Coal	1e5	1000	1	0.5	21
620	Coal	1e5	1000	2	0.5	21
621	Coal	1e5	500	1	0.5	21
622	Coal	1e5	500	2	0.5	21
623	Coal	1e5	100	1	0.5	21
624	Coal	1e5	100	2	0.5	21
625	Recap	1e5	1000	1	0.5	21
626	Recap	1e5	1000	2	0.5	21
627	Recap	1e5	500	1	0.5	21
628	Recap	1e5	500	2	0.5	21
629	Recap	1e5	100	1	0.5	21
630	Recap	1e5	100	2	0.5	21
631	5	1e5	1000	1	0.5	22
632	5	1e5	1000	2	0.5	22
633	5	1e5	500	1	0.5	22
634	5	1e5	500	2	0.5	22
635	5	1e5	100	1	0.5	22
636	5	1e5	100	2	0.5	22
637	10	1e5	1000	1	0.5	22
638	10	1e5	1000	2	0.5	22
639	10	1e5	500	1	0.5	22
640	10	1e5	500	2	0.5	22
641	10	1e5	100	1	0.5	22
642	10	1e5	100	2	0.5	22
643	20	1e5	1000	1	0.5	22
644	20	1e5	1000	2	0.5	22
645	20	1e5	500	1	0.5	22
646	20	1e5	500	2	0.5	22
647	20	1e5	100	1	0.5	22
648	20	1e5	100	2	0.5	22
649	Coal	1e5	1000	1	0.5	22
650	Coal	1e5	1000	2	0.5	22
651	Coal	1e5	500	1	0.5	22
652	Coal	1e5	500	2	0.5	22
653	Coal	1e5	100	1	0.5	22
654	Coal	1e5	100	2	0.5	22
655	Recap	1e5	1000	1	0.5	22
656	Recap	1e5	1000	2	0.5	22
657	Recap	1e5	500	1	0.5	22
658	Recap	1e5	500	2	0.5	22
659	Recap	1e5	100	1	0.5	22
660	Recap	1e5	100	2	0.5	22
661	5	1e5	1000	1	0.5	23
662	5	1e5	1000	2	0.5	23
663	5	1e5	500	1	0.5	23
664	5	1e5	500	2	0.5	23
665	5	1e5	100	1	0.5	23
666	5	1e5	100	2	0.5	23
667	10	1e5	1000	1	0.5	23
668	10	1e5	1000	2	0.5	23
669	10	1e5	500	1	0.5	23
670	10	1e5	500	2	0.5	23
671	10	1e5	100	1	0.5	23
672	10	1e5	100	2	0.5	23
673	20	1e5	1000	1	0.5	23
674	20	1e5	1000	2	0.5	23
675	20	1e5	500	1	0.5	23
676	20	1e5	500	2	0.5	23
677	20	1e5	100	1	0.5	23
678	20	1e5	100	2	0.5	23
679	Coal	1e5	1000	1	0.5	23
680	Coal	1e5	1000	2	0.5	23
681	Coal	1e5	500	1	0.5	23
682	Coal	1e5	500	2	0.5	23
683	Coal	1e5	100	1	0.5	23
684	Coal	1e5	100	2	0.5	23
685	Recap	1e5	1000	1	0.5	23
686	Recap	1e5	1000	2	0.5	23
687	Recap	1e5	500	1	0.5	23
688	Recap	1e5	500	2	0.5	23
689	Recap	1e5	100	1	0.5	23
690	Recap	1e5	100	2	0.5	23
691	5	1e5	1000	1	0.5	24
692	5	1e5	1000	2	0.5	24
693	5	1e5	500	1	0.5	24
694	5	1e5	500	2	0.5	24
695	5	1e5	100	1	0.5	24
696	5	1e5	100	2	0.5	24
697	10	1e5	1000	1	0.5	24
698	10	1e5	1000	2	0.5	24
699	10	1e5	500	1	0.5	24
700	10	1e5	500	2	0.5	24
701	10	1e5	100	1	0.5	24
702	10	1e5	100	2	0.5	24
703	20	1e5	1000	1	0.5	24
704	20	1e5	1000	2	0.5	24
705	20	1e5	500	1	0.5	24
706	20	1e5	500	2	0.5	24
