ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
555	20	1e5	5	1	0.0	19
556	20	1e5	5	2	0.0	19
557	20	1e5	1	1	0.0	19
558	20	1e5	1	2	0.0	19
559	Coal	1e5	10	1	0.0	19
560	Coal	1e5	10	2	0.0	19
561	Coal	1e5	5	1	0.0	19
562	Coal	1e5	5	2	0.0	19
563	Coal	1e5	1	1	0.0	19
564	Coal	1e5	1	2	0.0	19
565	Recap	1e5	10	1	0.0	19
566	Recap	1e5	10	2	0.0	19
567	Recap	1e5	5	1	0.0	19
568	Recap	1e5	5	2	0.0	19
569	Recap	1e5	1	1	0.0	19
570	Recap	1e5	1	2	0.0	19
571	5	1e5	10	1	0.0	20
572	5	1e5	10	2	0.0	20
573	5	1e5	5	1	0.0	20
574	5	1e5	5	2	0.0	20
575	5	1e5	1	1	0.0	20
576	5	1e5	1	2	0.0	20
577	10	1e5	10	1	0.0	20
578	10	1e5	10	2	0.0	20
579	10	1e5	5	1	0.0	20
580	10	1e5	5	2	0.0	20
581	10	1e5	1	1	0.0	20
582	10	1e5	1	2	0.0	20
583	20	1e5	10	1	0.0	20
584	20	1e5	10	2	0.0	20
585	20	1e5	5	1	0.0	20
586	20	1e5	5	2	0.0	20
587	20	1e5	1	1	0.0	20
588	20	1e5	1	2	0.0	20
589	Coal	1e5	10	1	0.0	20
590	Coal	1e5	10	2	0.0	20
591	Coal	1e5	5	1	0.0	20
592	Coal	1e5	5	2	0.0	20
593	Coal	1e5	1	1	0.0	20
594	Coal	1e5	1	2	0.0	20
595	Recap	1e5	10	1	0.0	20
596	Recap	1e5	10	2	0.0	20
597	Recap	1e5	5	1	0.0	20
598	Recap	1e5	5	2	0.0	20
599	Recap	1e5	1	1	0.0	20
600	Recap	1e5	1	2	0.0	20
601	5	1e5	10	1	0.0	21
602	5	1e5	10	2	0.0	21
603	5	1e5	5	1	0.0	21
604	5	1e5	5	2	0.0	21
605	5	1e5	1	1	0.0	21
606	5	1e5	1	2	0.0	21
607	10	1e5	10	1	0.0	21
608	10	1e5	10	2	0.0	21
609	10	1e5	5	1	0.0	21
610	10	1e5	5	2	0.0	21
611	10	1e5	1	1	0.0	21
612	10	1e5	1	2	0.0	21
613	20	1e5	10	1	0.0	21
614	20	1e5	10	2	0.0	21
615	20	1e5	5	1	0.0	21
616	20	1e5	5	2	0.0	21
